time_stamp;temperature;humidity;air_pressure;altitude
2019-10-04T00:00:00;9;90;1007;100
2019-10-04T01:00:00;9;90;1007;100
2019-10-04T02:00:00;9;90;1007;100
2019-10-04T03:00:00;9;90;1007;100
2019-10-04T04:00:00;9;91;1007;100
2019-10-04T05:00:00;9;91;1007;100
2019-10-04T06:00:00;9;90;1007;100
2019-10-04T07:00:00;9;89;1008;100
2019-10-04T08:00:00;9;85;1009;100
2019-10-04T09:00:00;9;85;1010;100
2019-10-04T10:00:00;11;80;1011;100
2019-10-04T11:00:00;12;77;1012;100
2019-10-04T12:00:00;13;72;1012;100
2019-10-04T13:00:00;14;65;1013;100
2019-10-04T14:00:00;15;59;1013;100
2019-10-04T15:00:00;15;55;1014;100
2019-10-04T16:00:00;15;52;1015;100
2019-10-04T17:00:00;14;55;1016;100
2019-10-04T18:00:00;12;65;1016;100
2019-10-04T19:00:00;10;75;1015;100
2019-10-04T20:00:00;9;86;1014;100
2019-10-04T21:00:00;9;89;1012;100
2019-10-04T22:00:00;8;93;1010;100
2019-10-04T23:00:00;8;93;1008;100
2019-10-05T00:00:00;8;94;1007;100
2019-10-05T01:00:00;8;94;1007;100
2019-10-05T02:00:00;8;94;1007;100
2019-10-05T03:00:00;8;94;1007;100
2019-10-05T04:00:00;8;95;1007;100
2019-10-05T05:00:00;8;95;1007;100
2019-10-05T06:00:00;8;94;1007;100
2019-10-05T07:00:00;8;93;1008;100
2019-10-05T08:00:00;8;91;1009;100
2019-10-05T09:00:00;8;88;1011;100
2019-10-05T10:00:00;9;83;1012;100
2019-10-05T11:00:00;10;80;1013;100
2019-10-05T12:00:00;11;75;1013;100
2019-10-05T13:00:00;12;68;1014;100
2019-10-05T14:00:00;12;61;1014;100
2019-10-05T15:00:00;12;58;1015;100
2019-10-05T16:00:00;12;55;1016;100
2019-10-05T17:00:00;12;58;1017;100
2019-10-05T18:00:00;11;68;1017;100
2019-10-05T19:00:00;9;78;1018;100
2019-10-05T20:00:00;8;83;1019;100
2019-10-05T21:00:00;8;86;1020;100
2019-10-05T22:00:00;7;90;1020;100
2019-10-05T23:00:00;7;90;1021;100
2019-10-06T00:00:00;6;90;1021;100
2019-10-06T01:00:00;6;90;1021;100
2019-10-06T02:00:00;5;91;1021;100
2019-10-06T03:00:00;5;92;1021;100
2019-10-06T04:00:00;4;93;1022;100
2019-10-06T05:00:00;4;93;1022;100
2019-10-06T06:00:00;4;93;1022;100
2019-10-06T07:00:00;4;94;1022;100
2019-10-06T08:00:00;4;93;1022;100
2019-10-06T09:00:00;5;87;1023;100
2019-10-06T10:00:00;6;78;1023;100
2019-10-06T11:00:00;8;70;1022;100
2019-10-06T12:00:00;9;64;1022;100
2019-10-06T13:00:00;10;58;1021;100
2019-10-06T14:00:00;11;53;1021;100
2019-10-06T15:00:00;11;52;1020;100
2019-10-06T16:00:00;10;54;1020;100
2019-10-06T17:00:00;10;57;1020;100
2019-10-06T18:00:00;9;60;1020;100
2019-10-06T19:00:00;8;68;1020;100
2019-10-06T20:00:00;7;74;1020;100
2019-10-06T21:00:00;7;77;1020;100
2019-10-06T22:00:00;5;79;1020;100
2019-10-06T23:00:00;5;81;1020;100
